Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744479385,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744479386,10,,Aggregated,0.000000,0.000000,510,640,770,790,820,850,850,850,850,850,850,20,0,180.0,400.35761500000007,6.592799999999954,847.6122,24719.5
1744479387,30,,Aggregated,0.000000,0.000000,620,770,770,810,820,840,850,850,850,850,850,25,0,620.0,478.962084,6.592799999999954,847.6122,29624.4
1744479388,40,,Aggregated,20.000000,0.000000,260,750,790,820,880,1000,1000,1100,1100,1100,1100,61,0,260.0,439.87883114754095,6.592799999999954,1099.7553000000003,22709.29508196721
1744479389,50,,Aggregated,12.500000,0.000000,230,710,770,820,930,1000,1100,1100,1100,1100,1100,83,0,230.0,423.62149397590355,6.592799999999954,1099.7553000000003,20878.31325301205
1744479390,60,,Aggregated,18.333333,0.000000,270,590,770,840,960,1000,1200,1200,1300,1300,1300,124,0,260.0,411.8306032258065,6.592799999999954,1338.0989000000004,17599.483870967742
1744479391,70,,Aggregated,19.750000,0.000000,230,320,770,840,1000,1100,1200,1300,1300,1300,1300,170,0,220.0,396.10116176470603,6.592799999999954,1338.0989000000004,16063.79411764706
1744479392,80,,Aggregated,23.000000,0.000000,200,290,710,790,1000,1100,1200,1300,1300,1300,1300,216,0,200.0,356.15086620370414,6.592799999999954,1338.0989000000004,13819.722222222223
1744479393,90,,Aggregated,23.000000,0.000000,210,310,620,790,1000,1200,1300,1400,1500,1500,1500,270,0,210.0,369.472900740741,6.592799999999954,1531.984799999999,12911.407407407407
1744479394,100,,Aggregated,30.428571,0.000000,220,320,710,810,1100,1300,1800,2000,2000,2000,2000,291,0,220.0,406.53461958762915,6.592799999999954,2009.6810000000005,13342.154639175258
1744479395,100,,Aggregated,33.750000,0.000000,290,510,630,770,1100,1400,1800,2000,2100,2100,2100,373,0,290.0,451.70575576407504,6.592799999999954,2062.2182999999995,11372.386058981234
1744479396,100,,Aggregated,31.888889,0.000000,280,480,630,770,1100,1700,2000,2200,2400,2400,2400,422,0,280.0,470.0012718009479,6.592799999999954,2445.1874,11353.0663507109
1744479397,100,,Aggregated,36.400000,0.000000,260,410,560,720,1100,1700,2000,2200,2600,2600,2600,505,0,260.0,441.0736893069308,6.592799999999954,2565.6043000000004,9907.673267326732
1744479398,100,,Aggregated,39.300000,0.000000,220,380,510,580,1000,1500,2000,2200,2600,2600,2600,566,0,220.0,394.73913869257944,5.927200000000354,2565.6043000000004,8860.901060070672
1744479399,100,,Aggregated,47.600000,0.000000,200,340,460,560,1000,1500,2000,2200,2600,2600,2600,626,0,200.0,357.90496948881776,5.927200000000354,2565.6043000000004,8030.303514376997
1744479400,100,,Aggregated,50.000000,0.000000,150,290,410,520,930,1300,2000,2100,2600,2600,2600,702,0,140.0,322.0202468660967,5.927200000000354,2565.6043000000004,7182.037037037037
1744479401,100,,Aggregated,54.200000,0.000000,100,250,380,470,870,1200,1900,2100,2600,2600,2600,767,0,100.0,295.5728911342892,5.922599999998113,2565.6043000000004,6589.9152542372885
1744479402,100,,Aggregated,57.400000,0.000000,67,220,340,430,810,1200,1800,2000,2600,2600,2600,829,0,67,274.25540446320855,5.922599999998113,2565.6043000000004,6111.64656212304
1744479403,100,,Aggregated,59.500000,0.000000,44,210,320,400,770,1200,1800,2000,2600,2600,2600,894,0,41,255.28019574944054,5.922599999998113,2565.6043000000004,5681.465324384788
1744479404,100,,Aggregated,60.500000,0.000000,26,190,280,380,730,1100,1800,2000,2600,2600,2600,963,0,26,237.81712606438197,5.922599999998113,2565.6043000000004,5288.354101765317
1744479405,100,,Aggregated,61.500000,0.000000,21,150,250,350,710,1100,1700,2000,2400,2600,2600,1027,0,21,223.89214985394338,5.922599999998113,2565.6043000000004,4970.949367088608
