Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744419659,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744419660,10,,Aggregated,0.000000,0.000000,64,110,640,750,780,790,840,840,840,840,840,30,10,61,267.7348603649686,4.08995000179857,837.9731550230645,16542.0
1744419661,20,,Aggregated,0.000000,0.000000,50,110,410,440,750,780,790,840,840,840,840,60,20,49,196.63101970024096,3.544320003129542,837.9731550230645,16542.0
1744419662,30,,Aggregated,0.000000,0.000000,53,120,190,410,750,790,850,910,970,970,970,121,45,53,188.30515490941056,3.544320003129542,971.24507202534,12348.719008264463
1744419663,40,,Aggregated,18.000000,6.000000,56,110,160,370,760,840,910,960,970,970,970,178,69,53,186.83501726521305,3.544320003129542,971.24507202534,11208.606741573034
1744419664,50,,Aggregated,21.333333,7.333333,54,100,150,190,730,840,920,960,970,970,970,254,102,53,175.54104300495422,3.544320003129542,971.24507202534,9840.141732283464
1744419665,60,,Aggregated,30.500000,11.500000,61,110,150,170,730,840,920,960,970,970,970,314,128,60,173.68364922096507,3.544320003129542,971.24507202534,9244.16560509554
1744419666,70,,Aggregated,36.200000,14.000000,64,120,160,180,690,830,950,960,1000,1000,1000,396,168,64,161.67249414961634,3.544320003129542,1045.9085860056803,7614.0
1744419667,80,,Aggregated,43.000000,17.333333,68,130,170,210,720,900,1400,1500,1600,1600,1600,451,189,68,200.129200430652,3.544320003129542,1609.6356259658933,7795.603104212861
1744419668,90,,Aggregated,49.142857,20.285714,69,150,220,590,770,950,1500,1600,1900,1900,1900,547,235,69,241.87561001848272,3.544320003129542,1938.0811149603687,7086.263254113345
1744419669,100,,Aggregated,50.500000,21.500000,71,160,410,580,760,950,1500,1600,2600,2600,2600,616,268,70,252.79924221274098,3.544320003129542,2581.7049680044875,6551.142857142857
1744419670,100,,Aggregated,52.222222,22.111111,75,170,540,630,910,1200,1900,2300,2600,2600,2600,667,287,75,304.8360444143878,3.544320003129542,2581.7049680044875,6873.409295352324
1744419671,100,,Aggregated,56.900000,24.500000,81,200,630,760,1100,1400,2200,2400,3500,3500,3500,796,348,79,364.6364190707705,3.544320003129542,3546.4617119869217,6342.844221105528
1744419672,100,,Aggregated,61.700000,26.800000,56,180,580,710,1100,1300,2100,2400,3500,3500,3500,924,412,56,338.9495669546496,3.544320003129542,3546.4617119869217,5488.285714285715
1744419673,100,,Aggregated,65.100000,28.400000,22,140,420,630,1100,1200,2000,2300,3000,3500,3500,1064,482,22,296.292215362944,3.4904099884442985,3546.4617119869217,4789.037593984963
1744419674,100,,Aggregated,77.100000,34.500000,19,110,210,570,1000,1200,1900,2300,3000,3500,3500,1183,541,19,269.14123024129987,3.278530028183013,3546.4617119869217,4324.820794590026
1744419675,100,,Aggregated,83.400000,38.200000,18,76,170,440,920,1200,1700,2300,3000,3500,3500,1312,606,18,244.41057037899841,3.278530028183013,3546.4617119869217,3916.682926829268
1744419676,100,,Aggregated,89.000000,41.500000,16,57,140,250,870,1200,1600,2200,3000,3500,3500,1437,668,16,224.1184509651108,3.278530028183013,3546.4617119869217,3591.133611691023
1744419677,100,,Aggregated,94.500000,44.700000,15,37,110,180,810,1100,1600,2200,3000,3500,3500,1576,737,15,205.61057603610726,3.278530028183013,3546.4617119869217,3289.76269035533
1744419678,100,,Aggregated,99.800000,47.900000,14,27,90,160,760,1100,1600,2100,3000,3500,3500,1706,803,14,190.80289077791107,3.278530028183013,3546.4617119869217,3052.3118405627197
1744419679,100,,Aggregated,106.600000,51.300000,14,25,74,130,720,1100,1500,2100,3000,3500,3500,1840,870,14,178.40566245896574,3.278530028183013,3546.4617119869217,2842.695652173913
1744419680,100,,Aggregated,113.400000,55.300000,13,24,61,110,670,1100,1500,2100,3000,3500,3500,1978,939,13,167.2197895873956,3.278530028183013,3546.4617119869217,2656.5075834175937
1744419681,100,,Aggregated,115.300000,56.600000,13,22,52,98,630,1100,1500,2100,2900,3500,3500,2100,999,13,158.22011192847555,3.2018189667724073,3546.4617119869217,2512.305714285714
1744419682,100,,Aggregated,124.300000,61.200000,13,21,43,83,610,1000,1400,2000,2900,3500,3500,2234,1067,13,149.44271827860229,3.2018189667724073,3546.4617119869217,2372.030438675022
1744419683,100,,Aggregated,131.300000,65.400000,12,20,36,68,570,1000,1200,1900,2900,3500,3500,2368,1134,12,141.71066162735596,3.2018189667724073,3546.4617119869217,2247.6486486486488
1744419684,100,,Aggregated,130.500000,65.300000,12,19,32,60,520,970,1200,1900,2900,3500,3500,2498,1199,12,134.9273237466027,3.2018189667724073,3546.4617119869217,2139.732586068855
1744419685,100,,Aggregated,129.800000,64.900000,12,19,30,53,440,920,1200,1700,2900,3500,3500,2632,1266,12,128.82114693572524,3.2018189667724073,3546.4617119869217,2039.6534954407296
1744419686,100,,Aggregated,131.800000,65.900000,12,18,28,47,370,900,1200,1600,2900,3500,3500,2764,1332,12,123.18440462093142,3.2018189667724073,3546.4617119869217,1950.5557163531114
1744419687,100,,Aggregated,131.700000,65.900000,12,18,27,45,240,860,1200,1600,2900,3500,3500,2897,1398,12,118.55539911280974,3.2018189667724073,3546.4617119869217,1869.0020711080429
1744419688,100,,Aggregated,131.200000,65.600000,12,18,26,42,200,830,1200,1600,2900,3500,3500,3026,1463,12,114.19837806908284,3.2018189667724073,3546.4617119869217,1796.7362855254462
1744419689,100,,Aggregated,131.900000,65.900000,12,18,26,39,180,810,1200,1600,2900,3500,3500,3157,1528,12,110.07409439367467,3.2018189667724073,3546.4617119869217,1729.4073487488122
1744419690,100,,Aggregated,130.800000,65.400000,12,18,25,37,170,770,1200,1600,2900,3500,3500,3293,1596,12,106.3594118230774,3.2018189667724073,3546.4617119869217,1665.1694503492256
1744419691,100,,Aggregated,132.000000,66.000000,12,18,25,36,160,760,1200,1600,2900,3500,3500,3412,1656,12,103.17189214381406,3.2018189667724073,3546.4617119869217,1613.1559202813598
1744419692,100,,Aggregated,131.600000,65.800000,12,18,26,37,170,740,1200,1500,2900,3500,3500,3545,1721,12,101.96924082150325,3.2018189667724073,3546.4617119869217,1559.1799717912552
1744419693,100,,Aggregated,130.800000,65.400000,12,18,25,37,160,710,1200,1500,2900,3500,3500,3683,1791,12,98.80017284304851,3.2018189667724073,3546.4617119869217,1507.2666304642953
1744419694,100,,Aggregated,128.700000,64.300000,12,18,25,36,150,690,1100,1500,2900,3500,3500,3811,1854,12,96.04874382522732,3.2018189667724073,3546.4617119869217,1462.4972448176331
1744419695,100,,Aggregated,131.600000,65.800000,12,18,25,36,140,670,1100,1500,2900,3500,3500,3949,1924,12,93.56334137730713,3.2018189667724073,3546.4617119869217,1417.4593567991897
1744419696,100,,Aggregated,130.400000,65.200000,12,18,25,35,130,650,1100,1500,2700,3500,3500,4071,1985,12,91.12422116118175,3.2018189667724073,3546.4617119869217,1380.1952837140752
1744419697,100,,Aggregated,131.900000,65.900000,12,18,24,33,120,630,1100,1500,2700,3500,3500,4199,2049,12,88.76886915097636,3.2018189667724073,3546.4617119869217,1343.4262919742796
1744419698,100,,Aggregated,130.600000,65.300000,12,18,24,33,120,620,1100,1400,2700,3500,3500,4338,2119,12,86.52142444286288,3.2018189667724073,3546.4617119869217,1305.9502074688796
1744419699,100,,Aggregated,130.500000,65.200000,12,18,24,33,110,610,1100,1400,2700,3500,3500,4478,2189,12,84.31898867916023,3.2018189667724073,3546.4617119869217,1270.5609647163913
1744419700,100,,Aggregated,130.700000,65.200000,12,18,24,31,100,590,1100,1400,2700,3500,3500,4599,2249,12,82.43520034362041,3.2018189667724073,3546.4617119869217,1241.7149380300066
1744419701,100,,Aggregated,131.700000,65.800000,12,18,24,31,96,570,1100,1200,2700,3500,3500,4748,2324,12,80.46248830653495,3.2018189667724073,3546.4617119869217,1208.2038753159225
1744419702,100,,Aggregated,131.500000,65.700000,12,18,24,31,90,540,1100,1200,2700,3500,3500,4884,2392,12,78.72463947985425,3.2018189667724073,3546.4617119869217,1179.4054054054054
1744419703,100,,Aggregated,131.900000,65.900000,12,17,23,31,88,530,1100,1200,2700,3500,3500,4956,2420,12,77.73783257799052,3.2018189667724073,3546.4617119869217,1164.866828087167
1744419704,100,,Aggregated,133.200000,66.600000,12,17,23,31,92,580,1100,1200,2600,3500,3500,5006,2439,12,80.51720524128015,3.2018189667724073,3546.4617119869217,1155.0203755493408
1744419705,100,,Aggregated,132.900000,66.400000,12,18,24,32,100,650,1100,1200,2600,3500,3500,5057,2468,12,86.19369125624308,3.2018189667724073,3546.4617119869217,1145.0976863753212
1744419706,100,,Aggregated,126.800000,62.500000,12,18,24,32,110,690,1100,1400,3000,3500,3500,5106,2490,12,90.80344905402009,3.2018189667724073,3546.4617119869217,1135.7990599294947
1744419707,100,,Aggregated,117.300000,57.300000,12,18,24,33,120,760,1100,1500,3100,3500,3500,5156,2512,12,98.67352028393836,3.2018189667724073,3546.4617119869217,1126.4965089216446
1744419708,100,,Aggregated,110.100000,54.000000,12,18,25,34,130,910,1100,1600,3100,3500,3500,5240,2564,12,107.11224040861654,3.2018189667724073,3546.4617119869217,1111.1473282442748
1744419709,100,,Aggregated,101.800000,49.600000,12,18,25,34,140,920,1100,2000,3100,3500,3500,5330,2612,12,110.80688322014281,3.2018189667724073,3546.4617119869217,1095.2994371482177
