Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744415549,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744415550,10,,Aggregated,0.000000,0.000000,440,460,490,490,510,550,550,550,550,550,550,20,0,440.0,433.2081794476835,316.2704820279032,550.0213719788007,49241.0
1744415551,20,,Aggregated,0.000000,0.000000,460,480,490,500,550,600,650,650,650,650,650,32,0,460.0,458.44997355925443,316.2704820279032,645.9552639862522,49241.0
1744415552,30,,Aggregated,16.000000,0.000000,480,520,550,600,710,830,990,990,990,990,990,41,0,480.0,516.4889048759417,316.2704820279032,994.3776130094193,49241.0
1744415553,40,,Aggregated,16.000000,0.000000,520,710,1000,1100,1300,1400,1600,1700,1700,1700,1700,56,0,520.0,706.8407825479101,316.2704820279032,1689.518321014475,49241.0
1744415554,50,,Aggregated,13.333333,0.000000,650,1000,1300,1400,1600,1700,1700,1900,1900,1900,1900,68,0,600.0,858.7444909362067,316.2704820279032,1931.20607099263,49241.0
1744415555,50,,Aggregated,14.000000,0.000000,830,1300,1600,1700,2100,2300,2400,2700,2700,2700,2700,79,0,830.0,1039.718212465508,316.2704820279032,2676.380966033321,49241.0
1744415556,50,,Aggregated,13.400000,0.000000,1100,1600,1900,2100,2400,2500,2700,3400,3400,3400,3400,91,0,1100.0,1229.0179722483147,316.2704820279032,3407.3181619751267,49241.0
1744415557,50,,Aggregated,13.400000,0.000000,1300,1900,2300,2300,2500,2700,3700,3800,3900,3900,3900,104,0,1300.0,1425.0374007841367,316.2704820279032,3865.9282620064914,49241.0
1744415558,50,,Aggregated,12.857143,0.000000,1600,2300,2400,2400,2800,3900,4200,4300,4400,4400,4400,118,0,1500.0,1631.9323991488475,316.2704820279032,4353.466968983412,49241.0
1744415559,50,,Aggregated,13.000000,0.000000,1700,2300,2400,2500,2600,3800,4200,4300,4400,4400,4400,133,0,1700.0,1713.3369232905168,316.2704820279032,4353.466968983412,49241.0
1744415560,50,,Aggregated,12.888889,0.000000,2100,2400,2400,2500,2600,3700,4200,4300,4400,4400,4400,147,0,2100.0,1779.3451175549017,316.2704820279032,4353.466968983412,49241.0
1744415561,50,,Aggregated,12.888889,0.000000,2100,2400,2400,2500,2600,3600,4200,4300,4400,4400,4400,161,0,2100.0,1795.0655430221282,316.2704820279032,4353.466968983412,49241.0
1744415562,50,,Aggregated,12.700000,0.000000,1900,2300,2400,2500,2600,3600,4200,4300,4400,4400,4400,176,0,1900.0,1774.6302477478987,316.2704820279032,4353.466968983412,49241.0
1744415563,50,,Aggregated,13.100000,0.000000,1700,2300,2400,2400,2600,3400,4200,4300,4400,4400,4400,191,0,1700.0,1745.9788615888483,316.2704820279032,4353.466968983412,49241.0
1744415564,50,,Aggregated,13.500000,0.000000,1600,2300,2400,2400,2600,3000,4000,4200,4400,4400,4400,204,0,1600.0,1729.1647166401199,316.2704820279032,4353.466968983412,49241.0
1744415565,50,,Aggregated,13.300000,0.000000,1600,2200,2400,2400,2600,3000,4000,4200,4400,4400,4400,217,0,1600.0,1722.4526951775654,316.2704820279032,4353.466968983412,49241.0
1744415566,50,,Aggregated,13.600000,0.000000,1600,2200,2400,2400,2600,2800,4000,4200,4400,4400,4400,232,0,1600.0,1716.561184481242,316.2704820279032,4353.466968983412,49241.0
1744415567,50,,Aggregated,13.900000,0.000000,1600,2100,2300,2400,2500,2800,4000,4200,4400,4400,4400,245,0,1600.0,1698.785235214627,316.2704820279032,4353.466968983412,49241.0
1744415568,50,,Aggregated,13.900000,0.000000,1600,2000,2300,2400,2500,2800,3900,4200,4400,4400,4400,257,0,1600.0,1698.1379512164303,316.2704820279032,4353.466968983412,49241.0
1744415569,50,,Aggregated,13.900000,0.000000,1600,1900,2300,2400,2500,2700,3900,4200,4400,4400,4400,272,0,1600.0,1691.759124002334,316.2704820279032,4353.466968983412,49241.0
