Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744858385,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744858386,5,,Aggregated,0.000000,0.000000,45,69,120,140,160,230,230,230,230,230,230,15,0,45,73.98581999974947,7.191460004833061,230.47388000122737,16589.666666666668
1744858387,10,,Aggregated,0.000000,0.000000,44,78,120,160,250,300,330,330,330,330,330,35,0,44,85.07061968495171,7.191460004833061,334.24109000043245,16558.0
1744858388,15,,Aggregated,0.000000,0.000000,43,62,120,160,330,490,520,580,580,580,580,56,0,43,103.90609494619899,6.366390000039246,583.8037400026224,17702.410714285714
1744858389,20,,Aggregated,17.000000,0.000000,33,66,120,230,490,630,670,780,780,780,780,79,0,33,121.10133763283706,6.366390000039246,775.0113389993203,18790.569620253165
1744858390,25,,Aggregated,18.666667,0.000000,24,55,79,160,490,640,910,930,930,930,930,95,0,24,122.93192632634218,6.366390000039246,931.3299589994131,18056.831578947367
1744858391,30,,Aggregated,19.500000,0.000000,26,58,84,180,520,780,1100,1200,1300,1300,1300,120,0,26,139.01225671664483,6.366390000039246,1281.5756189957028,17183.416666666668
1744858392,30,,Aggregated,18.000000,0.000000,26,55,80,140,540,1100,1700,1800,1900,1900,1900,152,0,25,172.62271638154695,6.334739999147132,1867.9711679942557,17503.08552631579
1744858393,30,,Aggregated,19.833333,0.000000,23,46,72,120,520,930,1700,1800,1900,1900,1900,169,0,23,156.12366904153973,6.334739999147132,1867.9711679942557,15762.03550295858
1744858394,30,,Aggregated,21.285714,0.000000,20,33,60,79,420,910,1700,1800,1900,1900,1900,191,0,20,139.2538328063464,6.334739999147132,1867.9711679942557,13968.973821989528
1744858395,30,,Aggregated,21.285714,0.000000,18,27,54,74,330,780,1600,1800,1900,1900,1900,209,0,18,128.0550436746108,6.334739999147132,1867.9711679942557,12782.698564593302
1744858396,30,,Aggregated,21.000000,0.000000,16,25,46,62,290,670,1600,1800,1900,1900,1900,229,0,16,117.59774951093578,6.334739999147132,1867.9711679942557,11683.336244541484
1744858397,30,,Aggregated,20.900000,0.000000,14,22,43,55,250,640,1300,1800,1900,1900,1900,251,0,14,108.14138497209707,6.334739999147132,1867.9711679942557,10676.390438247012
1744858398,30,,Aggregated,21.200000,0.000000,12,20,30,50,230,630,1300,1800,1900,1900,1900,270,0,12,101.1976084591879,6.334739999147132,1867.9711679942557,9938.81111111111
1744858399,30,,Aggregated,21.300000,0.000000,11,19,26,46,180,580,1300,1800,1900,1900,1900,290,0,11,94.82636852415705,6.334739999147132,1867.9711679942557,9266.824137931035
1744858400,30,,Aggregated,21.200000,0.000000,10,18,25,43,140,540,1200,1700,1900,1900,1900,307,0,10,90.07058158631213,6.334739999147132,1867.9711679942557,8764.475570032573
1744858401,30,,Aggregated,20.900000,0.000000,10,17,23,33,120,520,1200,1700,1900,1900,1900,329,0,10,84.67971792408406,6.334739999147132,1867.9711679942557,8191.440729483283
1744858402,30,,Aggregated,20.900000,0.000000,10,16,22,28,100,490,1200,1700,1900,1900,1900,345,0,10,81.16220924351617,6.334739999147132,1867.9711679942557,7820.591304347826
1744858403,30,,Aggregated,20.800000,0.000000,10,15,20,26,84,440,1100,1700,1900,1900,1900,365,0,10,77.19992492332008,6.334739999147132,1867.9711679942557,7402.750684931507
1744858404,30,,Aggregated,19.600000,0.000000,9,14,20,25,79,420,1100,1700,1900,1900,1900,386,0,9,73.45017830832874,6.334739999147132,1867.9711679942557,7010.619170984456
1744858405,30,,Aggregated,19.800000,0.000000,9,14,19,24,77,330,930,1600,1900,1900,1900,403,0,9,70.73067456332761,6.334739999147132,1867.9711679942557,6723.111662531017
