Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744858288,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744858289,5,,Aggregated,0.000000,0.000000,310,380,400,400,440,440,440,440,440,440,440,10,0,170.0,263.1322866996925,111.68099999486003,435.25663900072686,37858.0
1744858290,10,,Aggregated,0.000000,0.000000,140,260,310,380,400,440,440,440,440,440,440,20,0,140.0,196.31818384950748,41.63120000157505,435.25663900072686,37858.0
1744858291,15,,Aggregated,10.000000,0.000000,100,170,240,260,380,400,440,440,440,440,440,35,0,100.0,154.2850261714193,25.263429997721687,435.25663900072686,36212.142857142855
1744858292,20,,Aggregated,10.000000,0.000000,98,130,200,220,270,400,400,440,440,440,440,52,0,97,130.01250140447294,22.1409100049641,435.25663900072686,35199.307692307695
1744858293,25,,Aggregated,11.000000,0.000000,99,140,170,220,260,380,400,440,440,440,440,69,0,99,129.9427121600762,22.1409100049641,435.25663900072686,34685.55072463768
1744858294,30,,Aggregated,12.500000,0.000000,100,160,170,220,270,310,400,440,440,440,440,93,0,100.0,131.14253898972385,22.1409100049641,435.25663900072686,33769.903225806454
1744858295,30,,Aggregated,13.000000,0.000000,92,150,170,200,260,310,400,400,440,440,440,105,0,92,119.78561499078448,22.1409100049641,435.25663900072686,32920.42857142857
1744858296,30,,Aggregated,14.500000,0.000000,71,110,160,170,260,290,400,400,440,440,440,121,0,71,108.96342330610318,22.1409100049641,435.25663900072686,32049.89256198347
1744858297,30,,Aggregated,14.142857,0.000000,58,100,150,170,250,290,400,400,440,440,440,135,0,58,100.35526251147665,22.1409100049641,435.25663900072686,31457.444444444445
1744858298,30,,Aggregated,14.500000,0.000000,50,95,140,160,240,280,380,400,440,440,440,151,0,50,93.42588607308768,22.1409100049641,435.25663900072686,30914.880794701985
1744858299,30,,Aggregated,14.333333,0.000000,49,89,130,150,230,270,380,400,440,440,440,164,0,47,88.91830315264,22.1409100049641,435.25663900072686,30552.0
1744858300,30,,Aggregated,14.500000,0.000000,46,80,110,150,220,270,380,400,440,440,440,180,0,46,85.24785760018858,22.1409100049641,435.25663900072686,30177.333333333332
1744858301,30,,Aggregated,15.000000,0.000000,42,69,100,140,210,270,380,400,440,440,440,195,0,42,81.15606998990421,22.1409100049641,435.25663900072686,29881.923076923078
1744858302,30,,Aggregated,15.300000,0.000000,39,59,99,110,200,260,310,400,440,440,440,208,0,38,77.93741696167882,22.1409100049641,435.25663900072686,29660.365384615383
1744858303,30,,Aggregated,16.000000,0.000000,38,59,94,110,180,260,310,400,440,440,440,223,0,38,75.30176429170776,21.846020004886668,435.25663900072686,29436.820627802692
1744858304,30,,Aggregated,15.200000,0.000000,38,55,90,100,170,260,310,400,440,440,440,234,0,37,73.20954554719113,21.846020004886668,435.25663900072686,29291.102564102563
1744858305,30,,Aggregated,15.200000,0.000000,39,55,80,100,170,260,310,400,440,440,440,250,0,38,71.6581468321383,21.846020004886668,435.25663900072686,29102.04
1744858306,30,,Aggregated,14.300000,0.000000,38,54,72,98,170,250,310,400,440,440,440,264,0,38,69.8595801933345,21.846020004886668,435.25663900072686,28955.409090909092
1744858307,30,,Aggregated,14.400000,0.000000,36,53,69,95,170,240,310,400,440,440,440,283,0,36,67.85529143476856,21.836880005139392,435.25663900072686,28779.614840989398
1744858308,30,,Aggregated,14.200000,0.000000,35,52,67,90,160,240,290,380,440,440,440,301,0,35,65.80673191038717,21.836880005139392,435.25663900072686,28633.54485049834
